Species,FertileFronds,Frond,Habitat,Indusia,Laminae,Rachis,Rhizome,Sori,Sporangia,Spores,SterileFronds,Stipe,Family,Biostatus
Cyathea dealbata (G.Forst.),,2000-4000mm-long,"Cyathea dealbata occurs as a sub-canopy species under kauri, podocarp, beech and broadleaved forest, and in kānuka and mānuka scrub, usually in drier areas. It is occasionally found on bush margins and in more open areas, and has been recorded from amongst rushes in a dune slack. Recognition: Cyathea dealbata is usually immediately recognisable by the white colour of the undersurface of the fronds. Aberrant specimens, and very young plants, with grey-green, blue-green or green undersurfaces can be identified by the abundant curly hairs. The indusia are also distinctive at maturity when they form a deep cup-shape, but are best seen at senescence when the sporangia have been shed. Cyathea dealbata is morphologically very similar to C. milnei . The two taxa are characterised by abundant crisped or curled hairs on both surfaces of the laminae, and by indusia which open at maturity to form a deep cup that later breaks apart or spreads out to form a bowl shape. No other species in New Zealand have indusia of this type or such a preponderance of curled hairs. Cyathea milnei is distinguished by the green colour of the abaxial lamina surface compared to the distinctive white colour of most populations of C. dealbata , although there are several populations in northern New Zealand that have grey- or blue-green abaxial surfaces. Cyathea milnei also tends to have more persistent dead fronds on the trunks of mature plants, pale brown rather than white stipes and rachises, more conspicuously tuberculate stipe bases, proportionally fewer hairs and more scales on the abaxial costae, slightly larger sori (0.6–0.8 mm, cf. c. 0.5 mm wide), and more fragile indusia that break up easily. The status of the two species has been discussed by Brownsey & Perrie (2015a). They are very closely related, but are retained here as species in the absence of any definitive evidence to the contrary. 12Cytology: n = 69 (Brownlie 1958). Notes: There are three syntype specimens of Hemitelia falciloba Colenso in WELT (P002483–4, P003305), and two more at AK (136265, 136267). Allan (1961, p. 41) lectotypified one of the specimens in WELT (P003305) by describing uniquely the material (now on two sheets) as comprising “four partial pinnae (2 sterile, 2 fertile)”. Allan (1961, p. 40) also lectotypified Cyathea tricolor Colenso but the specimen in WELT is now missing, presumed lost, and a replacement lectotype at K was selected from syntypes in AK, K and WELT by Brownsey & Perrie (2015b). Rawlings (1969) reported an unusual form of Cyathea dealbata from Warawara Forest with prostrate rhizomes. Similar plants were reported by Bryony Macmillan from Warkworth (CHR 199046) and by Peter de Lange from Te Paki at Unuwhao Bush (AK 223017–9, 222931), near North Cape (AK 322831–3) and Radar Bush (WELT P027464). The fronds collected by Rawlings were said to be sterile and less white than usual in this species, and as “dirty-grey to glaucescent” by de Lange. Some other populations in northern New Zealand, from Raglan, Kāwhia and Waihi to North Cape, and from Coppermine Island, Rabbit Island, Goat Island and the Three Kings Islands, have blue-grey, grey- green or almost green abaxial surfaces but do not appear to differ in any other character from populations with white undersurfaces. Colenso’s C. tricolor , described from the Seventy Mile Bush between Norsewood and Dannevirke, was also noted for its “bluish tint”, as well as for its “shining dark green upper foliage” and “general and regular drooping appearance”. These plants appear to be at one end of clinal variation in C. dealbata and are not recognised taxonomically here. Kirk (1873) recorded a specimen of C. dealbata with a branching trunk and double crown, but suggested that it might have arisen as a result of damage to the growing point. He noted three other examples that he had seen with similar branching trunks. Fig. 23 : Cyathea dealbata . Mature plants with fronds held horizontally.Fig. 24 : Cyathea dealbata . Mature plants, some lacking dead fronds and one with an unusual skirt of dead fronds. 13Fig. 25 : Cyathea dealbata . Young plant showing a few persistent dead fronds and whitish stipes to the living fronds.Fig. 26 : Cyathea dealbata . Trunk of a mature plant showing the lack of persistent dead fronds but projecting stipe bases around the trunk. Fig. 27 : Cyathea dealbata . Young crozier protected by scales.Fig. 28 : Cyathea dealbata . Chestnut-brown scales on stipe bases. Fig. 29 : Cyathea dealbata . Underside of young frond showing the white colour developing on the margins.Fig. 30 : Cyathea dealbata . Underside of fertile frond showing the characteristic white colour. 14Fig. 31 : Cyathea dealbata . Tuberculate, silver- coloured stipe bearing acicular chestnut-brown scales.Fig. 32 : Cyathea dealbata . Underside of fertile frond from the Far North showing glaucous coloration rather than the more usual white colour. Fig. 33 : Cyathea dealbata . Underside of fertile frond showing dense curly hairs on the midribs, and mature sori.Fig. 34 : Cyathea dealbata . Underside of fertile frond showing mature sori. Some indusia have lost their sporangia to reveal a deep cup.",,1500-3350mm-long; 600-1150mm-wide,1mm-long; 1mm-long; 3mm-long; 1mm-wide,12m; 160-450mm,0.5-0.8mm,,,,30-900mm-long; 15-40mm-wide; 15-40mm,Cyatheaceae,"['indigenous', 'endemic']"
"Cyathea kermadecensis W.R.B.Oliv., Trans. & Proc. New Zealand Inst. 42: 158 (1910)",,2050-4000mm-long,"Cyathea kermadecensis grows in Metrosideros , Ascarina and Rhopalostylis forest in ravines, gullies and on cliffs, mostly in the higher and wetter parts of Raoul Island but also at lower elevations and drier sites. It is apparently less common than C. milnei (Sykes 1977). Recognition: Cyathea kermadecensis is morphologically very similar to C. cunninghamii . The two taxa share indusia which open at maturity to form a hood-shape, and a diverse array of very similar hairs and scales on the abaxial surface of the laminae. No other taxa in New Zealand or Australia have indusia of this type or such a diversity of scales and hairs. However, C. kermadecensis has a greater abundance of large pale brown scales on the abaxial surfaces of the costae than C. cunninghamii , and scattered, irregularly curled, acicular hairs on the abaxial costae which are usually absent in C. cunninghamii . C. kermadecensis also lacks the red acaroid scales of C. cunninghamii , producing only colourless acaroid scales with slightly longer branches. The tertiary segments of C. cunninghamii are slightly more divided, and the stipe bases of C. kermadecensis are red-brown rather than black as in C. cunninghamii . The status of the two species has been discussed by Brownsey & Perrie (2015a). They are very closely related, but are retained here as species in the absence of any definitive evidence to the contrary. Cytology: 2n = 138 (Murray & de Lange 2013). Notes: Cyathea kermadecensis was first lectotypified by Holttum (1964). However his choice included two specimens and was further narrowed to a single specimen by Brownsey & Perrie (2015b). Fig. 36 : Cyathea kermadecensis . Mature plants growing on Raoul Island showing the lack of persistent dead fronds.Fig. 37 : Cyathea kermadecensis . Crown of mature plant on Raoul Island. 16Fig. 38 : Cyathea kermadecensis . Crown of cultivated plant showing the red-brown colour of the stipe bases and trunk.Fig. 39 : Cyathea kermadecensis . Crozier on a cultivated plant protected by red-brown scales. Fig. 40 : Cyathea kermadecensis . Crown of plant growing on Raoul Island showing red-brown scales densely covering the stipe bases and trunk.Fig. 41 : Cyathea kermadecensis . Tuberculate stipe bases with acicular pale and red-brown scales. Fig. 42 : Cyathea kermadecensis . Underside of fertile frond showing crenate tertiary segments.Fig. 43 : Cyathea kermadecensis . Underside of fertile frond showing mature sori protected by hood-shaped indusia. 1",,1750-2100mm-long; 700-900mm-wide,1mm-long; 1.5mm-long; 5mm-long; 1mm-wide; 0.1-0.2mm-long,20m; 140-200mm,0.6-0.9mm,,,,70-320mm-long; 10-33mm-wide; 10-30mm,Cyatheaceae,"['indigenous', 'endemic']"
Cyathea medullaris (G.Forst.),,3000-5000mm-long,"Cyathea medullaris is a tall emergent species that occurs mostly in broadleaved forest, but also in podocarp, beech and kānuka forest and under introduced conifers and Salix species. It can be abundant in the initial forest formed on slips and other disturbed sites undergoing regeneration. It is a frost-tender species, and prefers damp habitats. Recognition: In the field Cyathea medullaris is readily distinguished by its tall trunk with black hexagonal stipe scars, and large arching fronds with thick black stipes. The lamina and stipe scales have dark red setae along both margins, which distinguishes this species from all other native species. Even very young plants of C. medullaris can be positively identified by this character. The naturalised C. cooperi has similar scales but is distinguished by its pale brown stipes and exindusiate sori. Plants of C. cunninghamii are superficially similar to C. medullaris but have more slender trunks covered in appressed stipe bases, shorter and more lacy fronds, and thinner stipes. C. cunninghamii also has scales that lack the marginal setae, and indusia that open to form a hood-shape, rather than splitting open irregularly. Cytology: n = 69 (Brownlie 1961). Notes: Cyathea polyneuron was described by Colenso (1879) from a plant he originally collected on Scinde Island, Napier. There are specimens in the Colenso Herbarium at WELT (P003306), in the Cheeseman Herbarium (AK 143439), and on two sheets at K. However, Allan (1961, p. 41) lectotypified the specimen at WELT, stating “the type in WELT consists of three portions of a rachis bearing in all 20 secondary pinnae…”, a description which accurately relates to WELT P003306 (now on two sheets). Cyathea medullaris var. integra was described by Hooker (1844–1846) from specimens collected by Colenso in New Zealand, but no material has been located at AK, K or WELT, which hold most of Colenso’s collections, and the type has been left undesignated (Brownsey & Perrie 2015b). Fig. 45 : Cyathea medullaris . Plants growing abundantly on a disturbed hillside.Fig. 46 : Cyathea medullaris . Mature plants emerging above the surrounding forest. 19Fig. 47 : Cyathea medullaris . Young plant with dead fronds persistent on the trunk.Fig. 48 : Cyathea medullaris . Mature plant with emergent crown, lacking dead fronds and with large fronds and thick black stipes. Fig. 49 : Cyathea medullaris . Crozier covered in acicular dark brown scales.Fig. 50 : Cyathea medullaris . Crown of immature plant with thick black stipe bases covered in dark brown scales. Fig. 51 : Cyathea medullaris . Crown of mature plant with thick black stipe bases covered in dark brown scales.Fig. 52 : Cyathea medullaris . Crown and trunk of mature plant showing thick black stipe bases, and trunks with hexagonal stipe scars. 20Fig. 53 : Cyathea medullaris . Large, obovate frond on mature plant.Fig. 54 : Cyathea medullaris . Underside of sterile lamina covered in pale, ovate scales with dark- coloured setae on margins. Fig. 55 : Cyathea medullaris . Underside of fertile lamina showing indusia completely enclosing immature sori.Fig. 56 : Cyathea medullaris . Underside of fertile lamina showing mature sori, mostly still enclosed within the indusia, but a few in which the indusia have broken open irregularly.",,3000-4000mm-long; 600-2000mm-wide,1mm-long; 2mm-long; 1mm-wide; 5mm-long; 0.5mm-wide,20m; 150-300mm,0.7-1.1mm,,,,160-1650mm-long; 40-95mm-wide; 40-60mm,Cyatheaceae,"['indigenous', 'non-endemic']"
"Cyathea milnei Hook. ex Hook.f., Handb. New Zealand Fl., 349 (1864)",,1500-4000mm-long,"Cyathea milnei grows more commonly in drier Metrosideros forest at low altitudes on Raoul Island, but a few plants extend into the higher and wetter forest. It is apparently more common than C. kermadecensis (Sykes 1977). Recognition: Cyathea milnei is morphologically very similar to C. dealbata . The two taxa are characterised by abundant crisped or curled hairs on both surfaces of the laminae, and by indusia which open at maturity to form a deep cup that later breaks apart or spreads out to form a bowl shape. No other species in New Zealand have indusia of this type or such a preponderance of curled hairs. Cyathea milnei is distinguished by the green colour of the abaxial lamina surface compared to the distinctive white colour of most populations of C. dealbata , although there are several populations in northern New Zealand that have grey- or blue-green abaxial surfaces. Cyathea milnei also tends to have more persistent dead fronds on the trunks of mature plants, pale brown rather than white stipes and rachises, more conspicuously tuberculate stipe bases, proportionally fewer hairs and more scales on the abaxial costae, slightly larger sori (0.6–0.8 mm, cf. c. 0.5 mm wide), and more fragile indusia that break up easily. The status of the two species has been discussed by Brownsey & Perrie (2015a). They are very closely related but are retained here as species in the absence of any definitive evidence to the contrary. Notes: Cyathea milnei was described by Hooker (1864), but attributed to a manuscript description by William Hooker, based on specimens collected from the Kermadec Islands by John MacGillivray. In the Hookers’ Herbarium at K there are three sheets of material collected from the Kermadec Islands during the voyage of the Herald. Two were collected by W.G. Milne in 1855, and one by John MacGillivray in 1854. However, only the latter accords with Hooker’s protologue and is therefore the holotype. 22Fig. 58 : Cyathea milnei . Crown of mature plant on Raoul Island showing the thick trunk bearing projecting stipe bases.Fig. 59 : Cyathea milnei . Crown of mature plant on Raoul Island showing the pale brown and green stipes. Fig. 60 : Cyathea milnei . Plant in cultivation (at left) growing alongside a plant of C. dealbata , showing the very similar habit of both species.Fig. 61 : Cyathea milnei . Crozier on a plant in cultivation, protected by acicular chestnut-brown scales. Fig. 62 : Cyathea milnei . Crown of a plant in cultivation showing trunk with projecting stipe bases, giving rise to green, tuberculate stipes.Fig. 63 : Cyathea milnei . Cultivated plant with very rough stipe bases. 23Fig. 64 : Cyathea milnei . Frond on a plant in cultivation showing the glossy green upper surface.Fig. 65 : Cyathea milnei . Underside of young fertile frond showing curly hairs and ovate pale brown scales on the primary costae, but only scales on the secondary costae. Fig. 66 : Cyathea milnei . Underside of mature fertile frond showing curly hairs and scales on the primary costae, but only scales and a few hairs on the secondary costae.Fig. 67 : Cyathea milnei . Underside of mature fertile frond showing sori surrounded by deep cup- shaped indusia.",,1200-2800mm-long; 700-1200mm-wide,1mm-long; 4mm-long; 1mm-wide,8m; 50-280mm,0.7-1.0mm; 0.6-0.8mm,,,,70-400mm-long; 15-35mm-wide; 10-26mm,Cyatheaceae,"['indigenous', 'endemic']"
"Cyathea smithii Hook.f., Bot. Antarct. Voy. II (Fl. Nov.-Zel.)",,1650-3000mm-long,"Cyathea smithii is a hardy, subcanopy species which favours colder, wetter conditions, and is the dominant tree at higher altitudes and in the far south of the country. It occurs under podocarp, beech, kānuka and broadleaved forest. Recognition: Cyathea smithii is readily recognised in the field by its persistent dead stipes and rachises with abraded pinnae, which appear like a grass skirt around the trunk. The only other mainland New Zealand tree fern that regularly forms a skirt is Dicksonia fibrosa , where entire dead fronds are retained. Young immature plants of C. smithii are sometimes confused with C. colensoi , but fertile fronds are only produced on C. smithii when plants have developed trunks more than 1 m tall and can no longer be mistaken for C. colensoi . Cyathea smithii can be distinguished from C. cunninghamii by its saucer-shaped, rather than hood- shaped indusia. The pale brown lamina scales are also distinctive in lacking dark setae at the apex (Brownsey 1979), and the acaroid scales never have an expanded pale brown base, as is sometimes the case in C. cunninghamii . One collection of C. smithii from the Chatham Islands (WELT P021516) has larger pinnae than any mainland collection, with primary pinnae up to 600 mm long and 145 mm wide, secondary pinnae up 25to 80 mm long and 20 mm wide, and tertiary pinnae up to 14 mm long and 4 mm wide. It is unclear whether plants are generally bigger on the Chatham Islands. Cytology: n = 69 (Brownlie 1958). Notes: There are six syntype specimens of Hemitelia stellulata Colenso in WELT (P002506-10, P003307), another at AK (143440), and two at K. Allan (1961, p. 43) lectotypified one of the specimens in WELT (P003307) by describing uniquely the material on the sheet (“a portion of a rachis with 8 pinnae”). Buchanan (1887) recorded a specimen of C. smithii from Dunedin which branched to form several heads. Fig. 69 : Cyathea smithii . Mature plant (at left) with a persistent skirt of dead stipes and rachises growing alongside a plant of Dicksonia fibrosa (at right) with a skirt of complete dead fronds.Fig. 70 : Cyathea smithii . Mature plant with a persistent skirt of dead stipes and rachises. Fig. 71 : Cyathea smithii . Young plant developing a persistent skirt of dead stipes and rachises.Fig. 72 : Cyathea smithii . Crown of mature plant with scales on trunk and stipes. 26Fig. 73 : Cyathea smithii . Crozier on a mature plant protected by dark brown scales.Fig. 74 : Cyathea smithii . Chestnut- brown scales on stipes of a young plant. Fig. 75 : Cyathea smithii . Underside of fertile frond showing ovate pale brown scales and (barely visible) minute red acaroid scales on the midribs.Fig. 76 : Cyathea smithii . Underside of fertile frond showing ovate pale brown scales and red acaroid scales on the midribs. Fig. 77 : Cyathea smithii . Underside of fertile pinnae with sori obscuring the shallow saucer- shaped indusia.Fig. 78 : Cyathea smithii . Underside of over-mature fertile pinnae. Most indusia have lost the sporangia to reveal their shallow saucer shape. 2",,1000-2000mm-long; 450-750mm-wide,1mm-long; 3mm-long; 0.5mm-wide; 0.1mm,,0.5-0.9mm,,,,80-450mm-long; 15-30mm-wide; 10-20mm,Cyatheaceae,"['indigenous', 'endemic']"
Cystopteris fragilis (L.),,110-475mm-long,"Cystopteris fragilis occurs most frequently in or near urban areas, where it grows along shaded streams and road banks, and in roadside ditches, often under Salix species or broadleaved forest.",0.6-1mm-long,75-280mm-long; 26-175mm-wide,1.5mm-long,,,,,,5-10mm; 25-200mm-long,Cystopteridaceae,['exotic']
"Cystopteris tasmanica Hook., Sp. Fil. 1, 199 (1846)",,25-400mm-long; 470mm-long,"Cystopteris tasmanica grows most frequently on limestone or marble, but sometimes also on greywacke and granite. It occurs under rocks and boulders, in sink-holes, in rock crevices and on wet rock faces, in caves, on stable scree, and on track and river banks, either in shaded rocky areas, subalpine grassland or under scrub, beech or podocarp forest. Recognition: Cystopteris tasmanica is an indigenous species, largely confined to limestone in montane to alpine areas. It is distinguished morphologically from the naturalised C. fragilis by its generally smaller and less divided laminae (1–2-pinnate cf. 2–3-pinnate), by its shorter and narrower primary pinnae (6–42 mm long, 4–24 mm wide cf. 16–95 mm long, 9–50 mm wide), and by the apices of its primary and secondary pinnae, which are obtuse or rounded rather than acute to acuminate. Cytology: n = 84 (Brownlie 1958, as Cystopteris fragilis ). Notes: New Zealand plants were misidentified as the European C. fragilis in most earlier New Zealand Floras (e.g. Hooker 1867; Cheeseman 1906, 1925; Allan 1961; Crookes 1963). They were referred to the South American C. fragilis var. apiiformis (Gand.) C.Chr. by Blasdell (1963). Whether or not Australasian material is identical to South American material remains to be determined, but in any event the name C. tasmanica (at species or varietal rank) has priority. Blasdell (1963) noted that minute glandular hairs are present on fronds of several species of Cystopteris . They have occasionally been observed on young living fronds of C. tasmanica , but they are apparently lost with maturity, and with drying, and have not been observed on herbarium material. Fig. 5 : Cystopteris tasmanica . Mature plants growing amongst limestone rock.Fig. 6 : Cystopteris tasmanica . Mature 1-pinnate- pinnatifid fronds. 6Fig. 7 : Cystopteris tasmanica . Mature plant growing on moss-covered limestone rock.Fig. 8 : Cystopteris tasmanica . Mature 1-pinnate- pinnatifid frond with round or obtuse pinna apices. Fig. 9 : Cystopteris tasmanica . Mature 1-pinnate- pinnatifid frond with round or obtuse pinna apices.Fig. 10 : Cystopteris tasmanica . Abaxial surface of fertile frond showing mature sori away from the lamina margin. Fig. 11 : Cystopteris tasmanica . Abaxial surface of fertile frond showing minute glandular hairs, and round sori protected by hood-like indusia.Fig. 12 : Cystopteris tasmanica . Abaxial surface of fertile frond showing mature sori from which the indusia have been shed.",0.6-1mm-long,18-245mm-long; 5-75mm; 88mm-wide,1mm-long,,,,,,2-10mm; 10-225mm-long; 250mm-long,Cystopteridaceae,"['indigenous', 'non-endemic']"
"Davallia griffithiana Hook., Sp. Fil. 1, 168, t. 49B (1845)",,95-335mm-long; 110-370mm-long,"Davallia griffithiana occurs as an escape from cultivation, growing as an epiphyte or on brick, basalt or scoria walls in old gardens, derelict sections or quarry sites.",0.8-1.7mm-long; 0.6-1.1mm-wide; 1.2-2.0mm-long; 0.8-1.4mm-wide,45-215mm-long; 35-200mm-wide; 50-210mm-long; 67-255mm-wide,2mm-long; 0.5mm-wide,,,,,,10-60mm; 50-120mm-long; 5-35mm; 35-175mm-long,Davalliaceae,['exotic']
"Davallia trichomanoides Blume, Enum. Pl. Javae 2, 238 (1828)",,,"Recorded from a small, sterile patch on an open clay bank under native shrubs as a probable escape from cultivation.",1.2-1.7mm-long; 0.6-0.8mm-wide,,,,,,,,,Davalliaceae,"['exotic', 'casual']"
Dennstaedtia davallioides (R.Br.),,800-2000mm-long,"Recorded as widely scattered in an overgrown garden and spreading through a fence into the adjacent property at Whenuapai, and amongst Clivia plantings at the University of Auckland campus. Its habitat in the Arapuni Gorge is unknown.",,400-1350mm-long; 400-600mm-long,0.5mm-long,,,,,,340-650mm-long; 200-300mm-wide,Dennstaedtiaceae,"['exotic', 'casual']"
Histiopteris incisa (Thunb.),,170-2200mm-long; 110-1480mm-long; 60-1250mm-wide; 32-760mm-long; 14-260mm-wide,"Histiopteris incisa is found in open areas, on disturbed ground and in cleared forest, in light gaps under podocarp, beech and broadleaved forest, in coastal forest and scrub, under mānuka and kānuka, in subalpine tussock and shrubland, and under introduced conifer plantations. It occurs on damp soils, dunes, and coastal cliffs, beside lakes and swamps, on roadside banks and forest margins, in ditches, on alluvial flats and river banks, on rotten logs, in wind-thrown areas, on pumice, and along thermally heated creeks and soils. Recognition: In New Zealand, Histiopteris incisa can be recognised by its long-creeping rhizomes, glabrous and glaucous fronds (when young), presence of scales on the rhizome and stipe bases, sessile primary pinnae, reticulate venation, and sori more or less continuous around the ultimate lamina segments, protected by the inrolled lamina margins. Cytology: n = c. 96 (Brownlie 1961). Notes: Perrie et al. (2015) and Shinohara et al. (2021) have shown there are two widespread lineages within Histiopteris incisa. New Zealand plants are genetically distinct from those sampled in Fiji and New Caledonia. Both lineages occur in Japan, where they are sympatric and seem to be morphologically distinguishable. Further investigation is required, including to which lineage the name Histiopteris incisa belongs. Pteris alpina was proposed by Field (1890, p. 97) for what he thought might be a new species. He provided a description and illustration (Plate 28, fig. 2) of the plant which was ""in the possession of my nephew, Mr D.H. Munro, of Christchurch who obtained it from a toll-gate keeper at the Otairi [Otira] Gorge … who collected and pressed ferns for sale to travellers"". Field suggested that it might be an alpine form of Histiopteris incisa but stated that ""should it prove to be new to science, I would propose to call it ‘Pteris alpina’."" It is clear from this that Field did not definitely accept the species, and was simply proposing the name in anticipation of it being accepted later. Under Art. 36.1 of the Code, the name is therefore not validly published and has no status. 7Fig. 7 : Histiopteris incisa . Developing frond with 3-pinnate lamina, glaucous when young.Fig. 8 : Histiopteris incisa . Base of red-brown stipe on mature frond with scattered chestnut-brown scales. Fig. 9 : Histiopteris incisa . Habit of plant in open grassy area.Fig. 10 : Histiopteris incisa . Mature frond showing red-brown to yellow-brown rachis. Fig. 11 : Histiopteris incisa . Sessile and glabrous primary pinnae attached to glaucous rachis of developing frond.Fig. 12 : Histiopteris incisa . Sessile and glabrous primary pinnae attached to red-brown rachis of mature frond. 8Fig. 13 : Histiopteris incisa . Young glabrous tertiary lamina segments showing adnate bases, and indusia formed from the inrolled pinna margin.Fig. 14 : Histiopteris incisa . Mature tertiary lamina segments showing adnate bases and sori arranged along the pinna margins. Hiya H.Shang in Shang et al., Molec. Phylogen. Evol. 127: 457 (2018) Type taxon: Hiya brooksiae (Alderw.) H.Shang Etymology: From the Chinese hiya (the name given to imperial guards from the Qing dynasty of China), a reference to the prickly, or very rough, armed stipes in some species. Terrestrial ferns. Rhizomes long-creeping, bearing red-brown or pale brown multicellular hairs. Fronds monomorphic, indeterminate with intermittent growth (not NZ) or determinate. Stipes hairy, spiny (not NZ) or rough. Laminae 2–4-pinnate, coriaceous, bearing non-glandular hairs, adaxial sulci of rachis and primary costae confluent; primary pinnae stalked, arising from rachis at ±90º, stipule-like pinnules present around resting buds of indeterminate fronds or absent. Veins free, reaching the lamina margin at indentations (NZ) or terminating at ± straight margin (not NZ). Sori round or elliptic, superficial, submarginal or submedial; paraphyses absent. Indusia either absent, or formed from partially reflexed, toothed lamina flaps, opening inwards; inner indusium absent. Spores monolete, echinate (not NZ) or smooth. Taxonomy: Hiya was distinguished by Shang et al. (2018) as a small genus of three species previously included within Hypolepis . However, Perrie et al. (2018) showed from a phylogenetic analysis of chloroplast DNA sequences that the Australasian H. distans was also embedded within Hiya, necessitating a revision of the generic description. Perrie et al. (2018) distinguished Hiya from Hypolepis on the basis that the adaxial sulci of the primary costae were confluent with the rachis, the lamina veins reached the margin at an indentation or where the margin was ± straight, and the basal primary pinnae arose from the rachis at ± 90º. By contrast, in Hypolepis ​​​​​​, the adaxial sulci of the primary costae were not confluent with the rachis, the lamina veins reached the margin where it was convex, and the basal primary pinnae arose from the rachis at an acute angle. Distribution: A genus of four species with one in the Neotropics from Mexico to Guyana and Bolivia, two in Malesia from peninsular Malaysia, Borneo, Sulawesi, Flores and New Guinea, and one in temperate Australia and New Zealand (Shang et al. 2018; Perrie et al. 2018). One non-endemic species in New Zealand. Biostatus: Indigenous (Non-endemic). Table : Number of species in New Zealand within Hiya H.Shang Category Number Indigenous (Non-endemic) 1 Total 1 Recognition: Hiya is distinguished from other genera of Dennstaedtiaceae by its sori that are ± round and situated near the lamina margins, the adaxial sulci of the primary pinnae that are confluent with the rachis, its veins that often reach the margin at an indentation, and its basal pinnae that arise at c. 90º to the rachis.  Cytology: The base chromosome number in Hiya is x = 28 or 29 (Brownsey 1983; Brownsey & Chinnock 1984).",,,,,,,,,25-130mm; 900mm-long; 1.5-10mm,Dennstaedtiaceae,"['indigenous', 'non-endemic']"
