SpeciesName,AntherSize,CalyxSize,CorollaSize,DiskFloretSize,FlowerSize,FruitSize,Glumes,InflorescenceSize,LeafSize,Lemma,LobesSize,Lodicules,OvarySize,Palea,PappusSize,PedicelSize,PetalSize,PetioleSize,RayFloretsSize,SeedSize,SepalSize,StamenSize,Stature,StigmaSize,StyleSize,TubeSize,UtricleSize
metrosideros-kermadecensis,1.0x0.2-0.4mm,,,,,6.0-7.2mm,,,20-50x10-30mm,,,,,,,8-12mm,,5-7mm,,2.5-4.5mm,,10-23mm,20m,,,,
myoporum-semotum,0.9-1.3x0.7-0.9mm,,,,17.0-18.5mm,,,,70-100x25-35mm,,4.5-6.5x4.0-4.5mm; 3.5-5.5mm; 1.0mm,,,,,3-12mm,,,,5.0-9.0x4.0-5.5mm; 2.8-3.0x0.9-1.1mm,1.3-3.0x0.7-1.0mm,5.0-5.5mm,14m; 0.50m,,2.8-4.0mm,0.15mm,
myosotis-antarctica,1mm,3mm,2-3mm,,,1.1-1.4x0.7-1.0mm,,,10-20x4-5mm; 5x2mm,,5mm,,,,,1mm,,,,,,,,,,2mm,
myrsine-chathamica,1.9-2.1x0.9-1.2mm,1.8-2.2mm; 1.6-2.0mm,2.6-3.0mm; 3.0-4.3mm,,,8-10mm,,,20-75x15-40mm,,0.8-1.1x0.6-0.8mm; 2.0-2.4x1.0mm; 0.6-0.9x0.6-0.9mm; 2.8-4.2x1.4-2.0mm,,1.8x2.3mm; 1.2-2.0mm,,,4.6-7.2mm,,5-10mm; 0.2-0.35mm,,5.5-7.0x5.3-6.5mm,,,12m; 5m,2.2mm; 2mm,,0.3-0.76mm; 0.34-0.38mm; 0.22-0.70mm; 0.3-0.6mm,
myrsine-coxii,,0.8-1.2mm; 0.8-1.4mm; 0.8-1.4mm,2.0-2.5mm; 2.2-2.9mm; 2.2-2.9mm,,,6-8mm,,,8-10-20x5-10-14mm,,0.6-0.8x0.3-0.4mm; 1.2-1.6x0.6-1.0mm; 0.6-0.8x0.4-0.6mm; 2.4-3.2x1.2-2.0mm; 0.6-0.8x0.4-0.6mm; 2.3-2.9x1.2-1.31mm,,2.4-3.2x1.8-2.6mm; 2.4-3.2x1.8-2.6mm,,,0.8-1.2mm; 10mm,,1-4mm,,3.2-4.0x3.2-3.8mm,,0.4-0.6x0.11-0.14mm; 2.4-3.2x1.2-2.0mm,12m; 10m,2.0-2.1mm; 2.0-2.1mm,,0.2-0.45mm; 0.2-0.4mm; 0.2-0.6mm; 0.2-0.4mm; 0.2-0.6mm,
myrsine-kermadecensis,1.1-1.8x0.8-1.2mm,1.0-1.5mm; 1.0-1.5mm,2.1-2.7mm; 2.7-3.1mm,,,6-12mm,,,30-680x25-40mm,,0.6-0.9x0.6-0.8mm; 1.9-2.4x0.9-1.0mm; 0.7-1.0x0.7-0.8mm; 2.5-2.8x1.1-1.3mm,,0.8-0.9x0.8-0.9mm; 2.5mm; 0.75-0.9x0.75-1.0mm,,,,,6-15mm,,3.2-3.5x4.0-5.5mm,,,10m,0.3-0.4mm; 0.75-0.8mm,,0.4-0.6mm; 0.2-0.3mm; 0.3-0.5mm; 0.2-0.3mm,
olearia-chathamica,,,,12-16x4-5mm,60mm,,,,70-100x16-20mm,,,,,,3.5-5.5mm,,,1.8-3.2x6-8mm,12-16x4-5mm,4.0-5.8mm,,,6-8m; 0.3m,,,,
olearia-semidentata,,,,10-12x4-5mm,40mm,,,,30-74x6-9mm,,,,,,4.5-6.2mm,,,1.5-2.6mm,10-12x4-5mm,2.5-4.2mm,,,2m,,,,
olearia-telmatica,,,,,5.0-7.2mm,,,,14-70x6-35mm,,,,,,2.8-4.2mm,,,4-7mm,,1.4-1.7x0.6-0.7mm,,,4-8m,,,,
olearia-traversiorum,1.3-1.5mm,,,,5.0-7.0mm,,,,15-80x10-46mm,,,,0.8-1.6x0.4-0.6mm,,2.2-3.3mm,,,5-10mm,,1.2-2.1x0.6-0.8mm,,0.5-0.6mm,12-18m,,4.5-5.5mm,,
pennantia-baylisiana,1-1.4mm,,,,1.5x1.5mm,10x4.5mm,,80-120x40-120mm,120-160x70-100mm,,,,2.8x2mm,,,,2.6mm,25mm,,9x3.5mm,,1.5mm,5-8x4m,,,,
piper-excelsum-subsp.-psittacorum,,,,,,,,,,,,,,,,,,,,,,,,,,,
pittosporum-fairchildii,1.5-2.5x0.5-1.3mm,,,,,5-10mm; 20-25mm,,,,,,,2.5-6x2-4mm,,,12-20mm,9-14x2.5-4.5mm,3-8x0.5-2mm,,,4-7x2-3.5mm,7-8.5mm,3-6m,,3-4mm,,
plagianthus-regius-subsp.-chathamicus,,,,,,,,,,,,,,,,,,,,,,,,,,,
plantago-aucklandica,1.0-1.5mm,,,,1.7-2.9x0.8-2.1mm,1.8-2.6x1.3-2.3mm; 2.0-3.0x1.3-2.3mm; 0.6-1.7mm; 1.0-2.0mm,,117-338mm; 36-136x6-8mm; 12mm,50-116x14-50mm; 40-116mm; 14-55x6.3-19.0mm,,1.5-2.4x1.3-1.8mm; 0.4-1.0mm; 1.1-1.7x0.4-0.8mm,,0.8-1.4x0.5-1.0mm,,,,,,,1.3-2.0x0.8-1.6mm,,2.3-4.4mm,,,2.3-4.2mm,1.5-2.5mm; 0.4-1.2mm,
plantago-raoulii,,,,,,,,,,,,,,,,,,,,,,,,,,,
poa-chathamica,2.0-3.5mm,,,,,,,55-120mm,50.0-600.0x2.5-4.5mm; 1mm,4.5-9.0mm,,0.5-2.0mm,,3.5-7.5mm,,,,,,2.0x0.5mm,,,,,,,
poa-incrassata,0.2-0.5mm,,,,,,1.5-2.5mm; 1-1.5mm,5-30mm,10-90x0.6-2mm,2.2mm,,,0.4-0.5mm,,,,,,,1-1.3x0.5mm,,,50-150mm,,0.75-1.1mm,,
poa-polyphylla,1.5mm,,,,,,2.0-3.5mm; 2.5-5.0mm,35-150mm,65.0-200.0x1.0-2.5mm,3.0-4.5mm,,0.5mm,,2.5-4.0mm,,,,,,1.5x0.5mm,,,,,,,
pseudopanax-chathamicus,,,,,5cm,6-5mm,,,5-15cm; 15-30x3-3.5cm; 10-15cm,,,,,,,,,15-20cm; 10-20mm,,4-6mm,,,7m,,,,
senecio-antipodus,,,,,,,,,30-250x20-120mm,,,,,,5-7mm,,,,,2.0-3.0mm,,,,,,,
senecio-kermadecensis,,,,,,,,,40-100x10-40mm; 30-80x5-30mm,,,,,,,,,,,2.0-2.5mm,,,,,,,
senecio-radiolatus,,,,1.5-8mm,,,,,30-250x20-120mm,,,,,,5-7mm,,,,1.5-8mm,2.2-3.5mm,,,,,,,
sonchus-grandiflorus,,,,,,,,,,,,,,,,,,,,,,,,,,,
sporadanthus-traversii,1.8-2.3mm,,,,,3.0-3.5x1.0-1.2mm,,30-150mm,15-30x6-11mm,,,,0.6-0.7x0.3-0.4mm,,,,4.0-6.0x1.0-1.2mm,,,1.2-1.5x0.9-1.0mm,,1.6-3.0mm,0.6-1.8-2.5m,,1.0-1.5mm,,
stellaria-decipiens-var.-angustata,,,,,,,,,,,,,,,,,,,,,,,,,,,
streblus-smithii,,,,,,,,,,,,,,,,,,,,,,,,,,,
tecomanthe-speciosa,,25x10mm,,,,150-200x35-40mm,,,50-180x30-100mm,,,,,,,10mm,,60x40mm,,10x25mm,,50-60mm,,,40-60mm,20-50x15-20mm,
veronica-barkeri-,,,,,,,,,,,,,,,,,,,,,,,,,,,
veronica-breviracemosa,,,,,,5x2.5mm,,20-30mm,30-150x15-30mm; 3-5mm,,4x1mm; 3mm,,,,,,,5-10mm,,,,,2x1.5m,,,1-1.5mm,
veronica-chathamica,2.0-2.4mm,2.5-4.0mm,,,,3.5-5.0x2.5-3.5mm,,13-41mm,8.5-33.0x3.3-16.5mm,,,,1.2-1.5mm,,,1.0-2.6mm,,,,1.2-1.6x0.9-1.3mm,,4.0-4.5mm,1m; 0.25m,,5-6mm,2.5-4.0x2.0-2.3mm,
veronica-dieffenbachii,1.5-1.9mm,1.5-4.4mm,,,,3.5-5.6x2.7-4.3mm,,50-120mm,26.0-110.0x4.5-25.0mm,,,,0.9-1.1mm,,,0.7-3.8mm,,,,0.8-1.5x0.8-1.2mm,,3.5-4.0mm,2x3m,,4.0-7.3mm,2.5-3.5x1.5-1.8mm,
veronica-insularis,1.8-2.2mm,2-4mm,,,,2.5-4.5x2-3mm,,2.2-4cm,7.5-32.5x3.7-13.5mm,,,,0.9-1.1mm,,,0.5-5.5mm,,,,1-1.2x0.6-0.8mm; 0.2-0.3mm,,4.8-6.5mm,0.5m,,3.5-7.2mm,2.9-4x2.2-3mm,
avicennia-marina,,,,,,,,,,,,,,,,,,,,,,,,,,,
disphyma-australe,,,,,,,,,,,,,,,,,,,,,,,,,,,
disphyma-clavellatum,,,,,20-40mm,5-12mm,,,5-50x4-5-10mm,,,,,,,,10-30mm,,,1mm,,5-7mm,,,,,
tetragonia-implexicoma,,,,,,5-8mm,,,20-50x10-30mm,,2.8-3.0mm,,,,,5-30mm,,3-15mm,,,,,,,,,
tetragonia-tetragonoides,,,,,7-8mm,8-10mm,,,15-80x10-60mm,,,,,,,,,20mm,,,,,1m,,,,
achyranthes-velutina,0.4-0.6mm,,,,0.2-1mm,,,150-200mm; 10mm; 1mm,40-50x25-30mm,,,,,,,,,5-10mm,,1.2-1.8x0.9-1.2mm,,0.5-1mm; 0.4x0.6mm,,,0.6-1mm; 0.8mm,,2-2.5mm
alternanthera-denticulata,0.15mm,,,,1.5-2x0.6-0.8mm; 2.3-2.4x0.6-0.8mm,1.7-1.8x1.9-2.1mm,,5-8mm,30-80x6-12mm,,,,,,,,,,,0.9-1x0.8-0.9mm,,,,,0.1-0.2mm,,
alternanthera-nahui,0.15-0.25mm,,,,,1.7-2.2x1.9-2.4mm,,5-7mm,15-45x3-8mm,,,,0.4-0.5mm,,,1mm,2.0-3.3x0.6-0.9mm,,,0.8-1.0mm,,0.3-0.5mm; 0.2-0.35mm,,,0.1-0.15mm,,
atriplex-australasica,,,,,0.5-1mm; 1.5-1.8mm,2.5-4mm,,,20-100x30-60mm,,,,,,,,,20mm,,,,,1x2m,,,,
atriplex-billardierei,0.2mm,,,,1-2mm,,,,5-20x2-7mm,,1.2mm,,0.5mm,,,,,0.5-1mm,,1.8-4.0mm,,0.6mm,3m,,2.1-1.3mm; 0.1-0.2mm,,
atriplex-buchananii,,,,,1-1.5mm; 1mm,1mm,,,1-10x0.5-6mm,,,,,,,,,0-3mm,,,,,30mm,,,,
atriplex-cinerea,0.8mm,,,,,,,30-140mm,15-20x32-46mm,,1.7mm,,0.35mm,,,,,1-3mm,,3-4mm,,0.8mm,1.5x4m,,,,
atriplex-hollowayi,,,,,0.8-1.2mm,,,,2-12x1-6mm,,0.8-1mm,,,,,,,,,0.9-2mm,,,0.8x1.2m,,,,
chenopodium-allanii,,,,,,,,,,,,,,,,,,,,,,,,,,,
chenopodium-triandrum,,,,,,,,,,,,,,,,,,,,,,,,,,,
chenopodium-trigonon,,,,,,,,,,,,,,,,,,,,,,,,,,,
dysphania-pusilla,,,,,,,,,,,,,,,,,,,,0.5-0.8mm,,,,,,,
oxybasis-glauca,,,,,,,,,,,,,,,,,,,,,,,,,,,
sarcocornia-quinqueflora,,,,,,,,,,,,,,,,,,,,,,,,,,,
suaeda-novae-zelandiae,,,,,,,,,,,,,,,,,,,,,,,,,,,
aciphylla-anomala,,,,,,,,2cm,8cm; 2mm; 10cm; 3mm; 7cm; 1mm; 10cm; 4mm,,,,,,,,,7-8cm; 2mm,,,,,45cm,,,,
aciphylla-aurea,,,,,,,,15cm,70cm; 22cm; 4mm,,,,,,,,,10-20cm; 10-16mm,,4.0-6.0mm,,,1.5m,,,,
aciphylla-cartilaginea,,,,,,2m,,,6-9cm,,,,,,,,,,,3.5-5.5mm,,,20cm,,,,
aciphylla-colensoi,,,,,,,,,30-50cm; 10cm; 3-4mm; 3mm,,,,,,,,,10cm,,8.0-12.0mm,,,1m,,,,
aciphylla-congesta,,,,,15cm,,,12cm,4cm,,,,,,,,,8cm,,4.0-5.2mm,,,30cm,,,,
aciphylla-crosby-smithii,,,,,,,,2.5cm,,,,,,,,,,3cm; 3-4mm,,4.0-5.2mm,,,40cm,,,,
aciphylla-dissecta,,,,,,,,,30cm,,,,,,,,,10-15mm,,,,,30-40cm,,,,
aciphylla-divisa,,,,,,4mm,,100mm; 60mm; 5cm; 100mm; 25mm,40mmx1-1.5mm,,,,,,,,,50-60mm,,,,,40cm,,,,
aciphylla-dobsonii,,,,,,3.5mm,,,50x15mm; 10cm; 50mm; 9mm,,,,,,,,,,,,,,150mm; 1m; 20mm; 30cm,,,,
aciphylla-ferox,,,,,,4mm,,75cm; 80-100x2-3mm; 30mm; 5mm,40cm; 200x4mm; 50x3mm,,,,,,,,,100-150x15mm; 10mm,,,,,1m,,,,
aciphylla-glaucescens,,,,,,6-9.5mm,,40cm,1.5m; 30-100mm; 50x20mm; 450mm; 40cm,,,,,,,,,350mmx15mm,,,,,1.5m; 2m,,,,
aciphylla-hectorii,,,,,,4mm,,80-150mm; 10mm; 15cm,30-50x8-10mm; 35-65x3-4mm; 20mm; 30mm,,,,,,,,,10mm,,,,,25cm,,,,
aciphylla-hookeri,,,,,,4-5mm,,150mm,20cm; 50mm,,,,,,,,,40mm,,,,,30cm,,,,
aciphylla-horrida,,,,,,4mm,,,80cm; 185x15mm,,,,,,,,,,,,,,1m; 150cm,,,,
aciphylla-indurata,,,,,,3-4mm,,30cm; 10mm,30cm; 140x5-8mm; 50x2-3mm; 40mm,,,,,,,,,30-50mm; 10mm,,,,,60cm,,,,
aciphylla-inermis,,,,,,,,,,,,,,,,,,,,,,,,,,,
aciphylla-intermedia,,,,,,,,,,,,,,,,,,,,,,,,,,,
aciphylla-lecomtei,,,,,125x90mm; 140x105mm,,,520mm; 300x10mm; 70mm; 50x2.5mm; 15x0.8mm; 420mm; 290x8mm; 80mm; 15x0.4mm,250mm; 100x3-4mm; 1mm; 0.2mm,,,,,,,3x0.2mm; 5x0.2mm,1.4x0.7mm; 1.3x0.6mm,45x3-54mm; 8-10mm,,4.1x2mm; 0.4mm,0.8mm; 0.8mm,2.5mm,,,1.2mm,,
aciphylla-leighii,,,,,,,,40-60mm; 20-25mm; 10mm; 5-6mm,5cm; 16mmx4mm; 20mm,,,,,,,,2mm,,,,,,70mm; 1m,,,,
aciphylla-lyallii,,,,,,5mm,,20cm; 30mm; 20cm,30cm; 15mm; 20mm; 30mm,,,,,,,,,100mm; 30mm,,,,,,,,,
aciphylla-monroi,,,,,,,,,,,,,,,,,,,,,,,,,,,
aciphylla-montana,,,,,,,,,,,,,,,,,,,,,,,,,,,
aciphylla-multisecta,,,,,,3mm,,150mm; 60-100mm,60-100mm; 40mm,,,,,,,,,150mm; 10mm,,,,,250x400mm,,,,
aciphylla-pinnatifida,,,,,,,,,,,,,,,,,,,,,,,,,,,
aciphylla-polita,,,,,,,,,,,,,,,,,,,,,,,,,,,
aciphylla-scott-thomsonii,,,,,,,,,,,,,,,,,,,,,,,,,,,
aciphylla-similis,,,,,130x90mm,,,400mm; 300x5.5mm; 100x90mm; 80mm; 60x1mm; 10x0.5mm; 16x1mm; 300mm; 170x4mm; 90mm; 70x2mm,230mm; 65x3-3.5mm; 2mm; 0.2mm,,,,,,,3x0.2mm; 3x0.1mm,1.2x0.6mm; 1.5x1mm,80x4mm; 5mm,,4.2x1.6mm; 0.3mm,0.6mm; 0.6mm,2mm,,,1.3mm,,
aciphylla-simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,
aciphylla-spedenii,,,,,,,,,,,,,,,,,,,,,,,,,,,
aciphylla-squarrosa,,,,,,,,,,,,,,,,,,,,,,,,,,,
aciphylla-stannensis,,,,,150x20mm; 230x50mm,,,0.4-1m; 250x10mm; 25mm; 6x1.4mm; 8x1mm; 2x0.8mm; 380mm; 150x6mm; 47mm; 23x1mm; 16x0.9mm,320mm; 220x5mm; 6mm; 1mm; 75x3mm; 2mm,,,,,,,2x0.9mm; 3x0.4mm,1x0.6mm; 0.75mm,60x6mm; 5mm,,8x3.3mm,0.3mm; 0.3mm,1.75mm,,,1.2mm,0.6mm,
aciphylla-subflabellata,,,,,,,,0.5-0.6m,200x3mm; 300mm,,,,,,,,,25x5mm; 25mm,,5-12mm,,,,,,,
aciphylla-takahea,,,,,,,,,,,,,,,,,,,,,,,,,,,
aciphylla-trailii,,,,,,,,,,,,,,,,,,,,,,,,,,,
aciphylla-trifoliolata,,,,,170x17mm; 180x50mm,,,3mm; 0.5mm; 30mm; 6x1mm; 17x0.7mm; 320mm; 140x6mm; 50mm; 30x1mm; 10x0.5mm,400mm; 65x3.5mm; 74x4mm,,,,,,,4x0.4mm; 2x0.1mm,1.3x0.4mm; 1.1x0.5mm,110x4.5mm; 10mm,,,0.5mm; 0.3mm,1.75mm,,,0.8mm,,
aciphylla-verticillata,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinotus-novae-zelandiae,,,,,,,,,,,,,,,,,,,,,,,,,,,
anisotome-acutifolia,,,,,,,,,0.50-0.70mx0.15-0.20m,,,,,,,3-5mm,,0.2-0.35mx4-10mm,,4.0-5.0x2.5-3.0mm; 4.0-4.8mm,,,2m; 2m; 13mm,,0.5-1.0mm,,
anisotome-antipoda,,,,,10-25x1-1.5mm,,,0.6-1.2mx0.1-0.3m,0.1-0.6x0.06-0.15m,,1-3mm,,,,,2-6mm; 0.5mm,,30-300x3-15mm; 25-70x20-35mm,,5.0-7.0mm,,,1.2m,,0.5-1mm,,
anisotome-aromatica,,,,,,,,,,,,,,,,,,,,,,,,,,,
anisotome-brevistylis,,,,,,,,,,,,,,,,,,,,,,,,,,,
anisotome-cauticola,,,,,,,,,,,,,,,,,,,,,,,,,,,
anisotome-filifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,
anisotome-flexuosa,,,,,,,,,,,,,,,,,,,,,,,,,,,
anisotome-haastii,,,,,,,,,,,,,,,,,,,,,,,,,,,
anisotome-imbricata,,,,,,,,,,,,,,,,,,,,,,,,,,,
anisotome-latifolia,,,,,5-15x1-2mm; 10-35x1-5mm; 2.0-10.0x0.5-2.0mm; 10-35mm,,,2m; 10-15mm,0.3-0.6x0.1-02m,,,,,,,2-5mm; 1-5mm,,0.15-0.3mx7.0-15.0mm; 2-3mm,,3.5-5.5-7.0mm,,,2m,,1-2mm,,
anisotome-patula,,,,,,,,2-8mm,200mm; 5-20x2-5mm,,,,,,,,0.2-0.5x0.2-0.5mm,50-100mm,,2.5-3x0.5-1mm,,,,,,,
anisotome-pilifera,,,,,,,,,,,,,,,,,,,,,,,,,,,
apium-prostratum,,,,,,,,,,,,,,,,,,,,,,,,,,,
azorella-allanii,,,,,,2.5mm,,15mm; 10cm,5-10cm; 2-3cm,,,,,,,5-10mm,,,,,,,30cm,,,,
azorella-cockaynei,,,,,,,,,,,,,,,,,,,,,,,,,,,
azorella-colensoi,,,,,,,,,,,,,,,,,,,,,,,,,,,
azorella-exiguum,,,,,,,,,,,,,,,,,,,,,,,,,,,
azorella-haastii,,,,,,,,,,,,,,,,,,,,,,,,,,,
azorella-hookeri,,,,,,,,,,,,,,,,,,,,,,,,,,,
azorella-hydrocotyloides,,,,,,,,,,,,,,,,,,,,,,,,,,,
azorella-nitens,,,,,,,,,,,,,,,,,,,,,,,,,,,
azorella-pallida,,,,,,,,,20mm,,,,,,,,,50mm,,1.8-2.3mm,,,0.2-1m,,,,
azorella-roughii,,,,,,,,,,,,,,,,,,,,,,,,,,,
azorella-schizeilema,,,,,,,,,,,,,,,,,,,,,,,,,,,
centella-uniflora,,,,,,,,,,,,,,,,,,,,,,,,,,,
chaerophyllum-basicola,0.2-0.3mm,,,,2.0-3.2mm,,,,110mm; 2-15x0.6-1.6mm,,,,2.2-2.3mm,,,0.4-0.9mm; 22mm,0.6-1.2x0.7-0.9mm,,,4.2-4.9x1.2-1.6mm,,0.3-0.4mm,,,0.2-0.3mm,,
chaerophyllum-colensoi,,,,,,,,,,,,,,,,,,,,,,,,,,,
chaerophyllum-ramosum,,,,,,,,,,,,,,,,,,,,,,,,,,,
